latitude,longitude,address
56.314822,43.87121,"г. Нижний Новгород, ш. Московское, 213а"
56.268529,43.882695,"г. Нижний Новгород, ул. Львовская, 4"
56.220207,43.83288,"г. Нижний Новгород, ул. Минеева, 35"
56.290468,43.873071,"г. Нижний Новгород, ул. Удмуртская, 40"
56.262897,43.900322,"г. Нижний Новгород, ул. Переходникова, 29"
56.345041,43.802199,"г. Нижний Новгород, ул. Федосеенко, 94а"
56.361203,43.80624,"г. Нижний Новгород, просп. Кораблестроителей, 36, корп. 2"
56.382865,43.794263,"г. Нижний Новгород, ул. КИМа, 335"
56.317343,44.024555,"г. Нижний Новгород, ул. Полтавская, 2а"
56.323712,44.001639,"г. Нижний Новгород, ул. Большая Покровская, 13/1"
56.322271,44.008468,"г. Нижний Новгород, ул. Октябрьская, 33"
56.264627,44.021089,"г. Нижний Новгород, ул. Первоцветная, 2"
56.288718,43.952292,"г. Нижний Новгород, ул. Голубева, 1"
56.259168,43.934153,"г. Нижний Новгород, ул. Героя Попова, 35д"
56.259664,44.008667,"г. Нижний Новгород, ул. Цветочная, 12"
56.212432,43.820425,"г. Нижний Новгород, ул. Ореховская, 15, корп. 1"
56.253317,43.972345,"г. Нижний Новгород, просп. Гагарина, 164"
56.323503,44.022533,"г. Нижний Новгород, ул. Ульянова, 46"
56.267579,43.761416,"г. Нижний Новгород, пос. Новое Доскино, 12-я линия, 9а"
56.307535,43.771516,"г. Нижний Новгород, ш. Московское, 352е"
56.310782,43.812488,"г. Нижний Новгород, ш. Московское, 306"
56.270911,43.852276,"г. Нижний Новгород, Шуваловский пр-д, 5"
56.317882,44.011969,"г. Нижний Новгород, пл. Свободы, 3"
56.29995,43.985217,"г. Нижний Новгород, просп. Гагарина, 22"
56.314282,43.990309,"г. Нижний Новгород, ул. Максима Горького, 4"
56.301015,44.082161,"г. Нижний Новгород, ул. Родионова, 200"
56.285967,43.980514,"г. Нижний Новгород, просп. Гагарина, 35, корп. 1"
56.261697,43.877171,"г. Нижний Новгород, ул. Дьяконова, 11а"
56.233484,43.835208,"г. Нижний Новгород, ул. Маковского, 21"
56.325679,44.012974,"г. Нижний Новгород, ул. Пискунова, 41"
56.285324,44.069262,"г. Нижний Новгород, ул. Верхнепечерская, 14 Б"
56.23354,43.839016,"г. Нижний Новгород, ул. Коломенская, 6"
56.242502,43.847427,"г. Нижний Новгород, просп. Молодежный, 33"
56.258392,43.854923,"г. Нижний Новгород, ул. Плотникова, 4а"
56.320212,43.947608,"г. Нижний Новгород, пл. Революции, 9"
56.327575,44.001324,"г. Нижний Новгород, Кремль, 2, корп. 2"
56.241369,43.865339,"г. Нижний Новгород, просп. Ленина, 100"
56.273403,43.918219,"г. Нижний Новгород, просп. Ленина, 61"
56.313398,44.032714,"г. Нижний Новгород, ул. Республиканская, 47, корп. 2"
56.241444,43.973639,"г. Нижний Новгород, ул. Ларина, 7, корп. 1"
56.242225,43.906577,"г. Нижний Новгород, ул. Окская Гавань, 12"
56.319424,44.026621,"г. Нижний Новгород, ул. Белинского, 124"
56.335478,43.839489,"г. Нижний Новгород, ул. Мечникова, 37"
56.347864,43.870853,"г. Нижний Новгород, ул. Коминтерна, 105"
56.239555,43.998919,"г. Нижний Новгород, ул. Ларина, 18"
56.347404,43.860685,"г. Нижний Новгород, ул. Павла Мочалова, 8"
56.325983,43.932324,"г. Нижний Новгород, ул. Тонкинская, 12"
56.256733,43.972083,"г. Нижний Новгород, просп. Гагарина, 162а"
56.326431,43.981082,"г. Нижний Новгород, ул. Рождественская, 49"
56.306222,43.996787,"г. Нижний Новгород, ул. Тимирязева, 3"
56.308731,44.0156,"г. Нижний Новгород, ул. Республиканская, 1"
56.329851,43.872904,"г. Нижний Новгород, ул. Березовская, 100"
56.314876,43.947246,"г. Нижний Новгород, ул. Литвинова, 74"
56.313385,44.028226,"г. Нижний Новгород, ул. Полтавская, 30"
56.271969,43.991359,"г. Нижний Новгород, ш. Анкудиновское, 1"
56.310831,43.849378,"г. Нижний Новгород, ш. Московское, 294г"
56.289815,43.848267,"г. Нижний Новгород, ул. Движенцев, 16"
56.314737,44.002797,"г. Нижний Новгород, ул. Максима Горького, 117"
56.253782,43.889262,"г. Нижний Новгород, просп. Ленина, 99"
56.312742,43.875779,"г. Нижний Новгород, ш. Московское, 144"
56.278449,43.983093,"г. Нижний Новгород, просп. Гагарина, 76"
56.327268,44.016967,"г. Нижний Новгород, ул. Нестерова, 5"
56.313965,43.898207,"г. Нижний Новгород, ш. Московское, 94а"
56.324545,44.031298,"г. Нижний Новгород, ул. Минина, 34"
56.301165,43.947779,"г. Нижний Новгород, ул. Деревообделочная, 2"
56.330695,43.903085,"г. Нижний Новгород, ш. Сормовское, 1а"
56.268287,43.925978,"г. Нижний Новгород, ул. Глеба Успенского, 16а"
56.331279,43.88289,"г. Нижний Новгород, пл. Кольцова, 7а"
56.320329,43.946412,"г. Нижний Новгород, ул. Фильченкова, 10"
56.235002,43.951418,"г. Нижний Новгород, просп. Гагарина, 105а"
56.324893,44.022036,"г. Нижний Новгород, ул. Большая Печерская, 25"
56.316466,43.942947,"г. Нижний Новгород, ул. Чкалова, 4"
56.233231,43.842683,"г. Нижний Новгород, ул. Героя Юрия Смирнова, 71, корп. 5"
56.295942,44.046447,"г. Нижний Новгород, пл. Советская, 7"
56.219631,43.791133,"г. Нижний Новгород, Аэропорт, 1"
56.327648,44.002854,"г. Нижний Новгород, Кремль, 9"
56.329322,44.007648,"г. Нижний Новгород, Кремль, 4"
56.20287,43.807373,"г. Нижний Новгород, пос. Мостоотряд, 26"
56.389426,43.738682,"г. Нижний Новгород, ул. 2-я Дубравная, 1а"
56.368721,43.805137,"г. Нижний Новгород, ул. Зайцева, 15а"
56.352941,43.860175,"г. Нижний Новгород, ул. Базарная, 8"
56.379999,43.794946,"г. Нижний Новгород, ул. Планетная, 35"
56.348584,43.856527,"г. Нижний Новгород, ул. Культуры, 12"
56.281373,43.99647,"г. Нижний Новгород, ул. Нартова, 6, корп. 6"
56.295436,43.909457,"г. Нижний Новгород, ул. Порт-Артурская, 1"
56.291018,43.921261,"г. Нижний Новгород, ул. Премудрова, 18, стр. 1"
56.266606,43.977172,"г. Нижний Новгород, ул. Пятигорская, 21а"
56.186997,44.026119,"г. Нижний Новгород, п. Зеленый Город, ул. Дом Железнодорожника, 7"
56.261229,43.926715,"г. Нижний Новгород, ул. Новикова-Прибоя, 4"
56.280693,43.982312,"г. Нижний Новгород, просп. Гагарина, 70"
56.328788,44.005518,"г. Нижний Новгород, Кремль, 5"
56.289098,43.930006,"г. Нижний Новгород, просп. Ленина, 29"
56.279488,43.951586,"г. Нижний Новгород, ул. Баумана, 50"
56.297463,44.034196,"г. Нижний Новгород, ул. Ванеева, 90"
56.243599,43.86291,"г. Нижний Новгород, просп. Октября, 3"
56.31995,43.866526,"г. Нижний Новгород, ул. Героя Рябцева, 15"
56.310432,43.998352,"г. Нижний Новгород, ул. Белинского, 38"
56.313635,43.89174,"г. Нижний Новгород, шоссе Московское, 122"
56.290343,44.073403,"г. Нижний Новгород, ш. Казанское, 11"
56.307461,43.936902,"г. Нижний Новгород, ул. Октябрьской Революции, 66"
56.295468,44.075367,"г. Нижний Новгород, ш. Казанское, 5"
56.310039,44.077945,"г. Нижний Новгород, ул. Родионова, 190"
56.258586,43.853245,"г. Нижний Новгород, ул. Плотникова, 5"
56.228239,43.864729,"г. Нижний Новгород, ш. Южное, 35"
56.314778,43.888381,"г. Нижний Новгород, ш. Московское, 173"
56.329926,43.846792,"г. Нижний Новгород, ул. Чаадаева, 16"
56.32215,44.010042,"г. Нижний Новгород, ул. Октябрьская, 35"
56.359779,43.869973,"г. Нижний Новгород, ул. Свободы, 1"
56.325544,44.003873,"г. Нижний Новгород, ул. Большая Покровская, 3"
56.319644,44.053849,"г. Нижний Новгород, ул. Родионова, 17"
56.222254,43.853796,"г. Нижний Новгород, ш. Южное, 2г"
56.259175,43.856006,"г. Нижний Новгород, ул. Плотникова, 3а"
56.309052,43.987153,"г. Нижний Новгород, ул. Большая Покровская, 82"
56.267099,43.876147,"г. Нижний Новгород, ул. Львовская, 7"
56.358385,43.856398,"г. Нижний Новгород, просп. Союзный, 3а"
56.290741,43.998134,"г. Нижний Новгород, ул. Бекетова, 13"
56.349914,43.867146,"г. Нижний Новгород, ул. Коминтерна, 168"
56.319561,43.926747,"г. Нижний Новгород, ш. Сормовское, 20"
56.305188,43.847496,"г. Нижний Новгород, пер. Камчатский, 5"
56.239136,43.957868,"г. Нижний Новгород, просп. Гагарина, 101"
56.319041,43.944615,"г. Нижний Новгород, ул. Чкалова, 3"
56.365775,43.823963,"г. Нижний Новгород, просп. Кораблестроителей, 3а"
56.328779,43.907636,"г. Нижний Новгород, ш. Сормовское, 1д"
56.325139,43.944322,"г. Нижний Новгород, ул. Гордеевская, 8"
56.31739,43.922555,"г. Нижний Новгород, ш. Московское, 30"
56.314592,44.069865,"г. Нижний Новгород, ул. Родионова, 165, корп. 13"
56.297013,43.945395,"г. Нижний Новгород, пл. Комсомольская, 2"
56.296305,44.042149,"г. Нижний Новгород, пл. Советская, 5"
56.288251,44.077413,"г. Нижний Новгород, ш. Казанское, 12, корп. 1"
56.29667,43.942247,"г. Нижний Новгород, пл. Комсомольская, 6"
56.290354,43.94851,"г. Нижний Новгород, ул. Даргомыжского, 22"
56.216826,43.866476,"г. Нижний Новгород, бул. Южный, 22"
56.219038,43.840116,"г. Нижний Новгород, ул. Аркадия Гайдара, 24"
56.242827,43.853513,"г. Нижний Новгород, просп. Молодежный, 28а"
56.262681,43.88384,"г. Нижний Новгород, ул. Дьяконова, 24а"
56.290878,43.987394,"г. Нижний Новгород, ул. Бекетова, 3 Б"
56.322168,43.881022,"г. Нижний Новгород, ул. Березовская, 65"
56.333001,43.96281,"г. Нижний Новгород, ул. Керченская, 18"
56.326117,43.956941,"г. Нижний Новгород, ул. Совнаркомовская, 34"
56.249238,43.850606,"г. Нижний Новгород, ул. Краснодонцев, 7"
56.308758,44.023392,"г. Нижний Новгород, ул. Ванеева, 24"
56.334473,43.9371,"г. Нижний Новгород, ул. Сергея Есенина, 17"
56.22806,43.945366,"г. Нижний Новгород, просп. Гагарина, 228"
56.229984,43.820154,"г. Нижний Новгород, ул. Космическая, 51"
56.232269,43.87576,"г. Нижний Новгород, ул. Веденяпина, 21"
56.340372,43.915345,"г. Нижний Новгород, ул. Бурнаковская, 51а"
56.236553,43.841519,"г. Нижний Новгород, ул. Янки Купалы, 30а"
56.256262,43.866694,"г. Нижний Новгород, просп. Октября, 25"
56.296139,44.038224,"г. Нижний Новгород, пл. Советская, 3"
56.248512,43.883223,"г. Нижний Новгород, просп. Ленина, 88"
56.307134,44.074765,"г. Нижний Новгород, ул. Родионова, 187"
56.249782,43.876512,"г. Нижний Новгород, просп. Ленина, 113"
56.233486,43.859529,"г. Нижний Новгород, ул. Героя Прыгунова, 7а"
56.277084,43.920978,"г. Нижний Новгород, просп. Ленина, 53"
56.300482,43.984809,"г. Нижний Новгород, просп. Гагарина, 20"
56.362835,43.814717,"г. Нижний Новгород, просп. Кораблестроителей, 15"
56.284589,43.937481,"г. Нижний Новгород, бул. Заречный, 3"
56.27202,43.977451,"г. Нижний Новгород, просп. Гагарина, 108"
56.241667,43.965004,"г. Нижний Новгород, просп. Гагарина, 180"
56.339761,43.956444,"г. Нижний Новгород, ул. Бетанкура, 1а"
56.34563,43.8707,"г. Нижний Новгород, ул. Коминтерна, 160"
56.334999,43.874381,"г. Нижний Новгород, ул. Березовская, 95"
56.325647,43.917295,"г. Нижний Новгород, ул. Шаляпина, 5"
56.269662,43.885204,"г. Нижний Новгород, ул. Львовская, 8а"
56.359965,43.821459,"г. Нижний Новгород, ул. Героев Космоса, 8а"
56.314731,43.997071,"г. Нижний Новгород, ул. Максима Горького, 144"
56.34412,43.92715,"г. Нижний Новгород, ул. Карла Маркса, 7а"
56.317615,44.02225,"г. Нижний Новгород, ул. Белинского, 69"
56.337118,43.883961,"г. Нижний Новгород, ул. Коминтерна, 4"
56.264988,43.912221,"г. Нижний Новгород, просп. Ленина, 78"
56.324094,43.946196,"г. Нижний Новгород, ул. Гордеевская, 2а"
56.259796,43.875239,"г. Нижний Новгород, ул. Дьяконова, 4а"
56.344247,43.838448,"г. Нижний Новгород, ул. Культуры, 113"
56.234788,43.831229,"г. Нижний Новгород, ул. Мончегорская, 6а, корп. 2"
56.283877,44.043667,"г. Нижний Новгород, ул. Маршала Рокоссовского, 15"
56.28974,43.857001,"г. Нижний Новгород, ул. Заречная, 3"
